Amount,Age,Year,Overseas,Mega,id,matches,Innings,Not Outs,Aggregate,Highest Score,Average,30s,50s,4s,6s,Boundary %,Scoring Rate,Top Scored in Innings,Top Scored %,Overs,Balls Bowled,Wickets,3 Wickets in Innings,4 Wickets in Innings,Economy Rate,Strike Rate,prog_agg,prog_avg,prog_sr,prog_bowlsr,prog_er,prog_wkts,prog_bowlavg,prog_matches,last_matches,last_inn,last_hs,last_runs,last_avg,last_sr,last_batpercent,overs,last_wkts,last_bowlavg,last_bowlsr,last_bowler,last_bowlpercent,birthyear,Role_All-Rounder,Role_Batsman,Role_Bowler,Role_Wicket Keeper,Nation_Indian,Nation_Overseas
0.8928571428571428,32,2016,0,0,3740,78,17,7,26,7,30.04,0,0,2,0,0.307692308,54.17,0,0.0,252.4,1516.0,69.0,5.0,1.0,8.2,21.97,19.0,2.11,46.34,22.33,8.12,57.0,30.23,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12.4,0.0,1984,0,0,1,0,1,0
0.4934210526315789,26,2015,0,0,3767,16,8,3,34,11,67.43,0,0,4,1,0.647058824,130.77,0,0.0,48.0,288.0,7.0,0.0,0.0,9.83,41.14,34.0,6.8,130.77,41.14,9.83,7.0,67.43,16.0,1.0,1.0,2.0,2.0,2.0,100.0,1.74,4.0,1.0,37.0,24.0,9.25,20.0,1989,0,0,1,0,1,0
0.5357142857142857,27,2016,0,0,3767,16,8,3,34,11,67.43,0,0,4,1,0.647058824,130.77,0,0.0,48.0,288.0,7.0,0.0,0.0,9.83,41.14,34.0,6.8,130.77,41.14,9.83,7.0,67.43,16.0,1.0,1.0,2.0,2.0,2.0,100.0,1.74,4.0,1.0,37.0,24.0,9.25,20.0,1989,0,0,1,0,1,0
4.251219512195122,30,2014,0,1,3782,105,46,18,310,26,28.25,0,0,21,9,0.44516129,113.14,2,0.043478261,353.3,2121.0,105.0,10.0,1.0,8.39,20.2,287.0,11.96,114.34,18.73,8.23,84.0,25.68,77.0,16.0,5.0,26.0,70.0,70.0,159.09,2.72,60.1,23.0,21.43,15.7,8.19,22.33,1984,0,0,1,0,1,0
1.1196043165467624,34,2018,0,1,3782,105,46,18,310,26,28.25,0,0,21,9,0.44516129,113.14,2,0.043478261,353.3,2121.0,105.0,10.0,1.0,8.39,20.2,304.0,10.86,112.18,20.37,8.3,102.0,28.17,103.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,15.5,9.0,10.33,25.0,1984,0,0,1,0,1,0
6.493705035971222,31,2018,0,1,3786,141,50,30,196,24,30.04,0,0,16,8,0.571428571,105.38,0,0.0,484.2,2906.0,136.0,16.0,3.0,8.44,21.37,94.0,13.43,104.44,21.05,8.41,91.0,29.52,94.0,14.0,4.0,4.0,10.0,0.0,76.92,0.47,48.3,17.0,24.12,17.12,8.45,19.77,1987,0,0,1,0,1,0
4.702338129496402,31,2018,0,1,3786,141,50,30,196,24,30.04,0,0,16,8,0.571428571,105.38,0,0.0,484.2,2906.0,136.0,16.0,3.0,8.44,21.37,94.0,13.43,104.44,21.05,8.41,91.0,29.52,94.0,14.0,4.0,4.0,10.0,0.0,76.92,0.47,48.3,17.0,24.12,17.12,8.45,19.77,1987,0,0,1,0,1,0
3.9475609756097563,27,2014,0,1,3786,141,50,30,196,24,30.04,0,0,16,8,0.571428571,105.38,0,0.0,484.2,2906.0,136.0,16.0,3.0,8.44,21.37,44.0,11.0,81.48,22.44,8.17,43.0,30.56,47.0,16.0,8.0,12.0,38.0,38.0,100.0,1.7,57.5,16.0,31.75,21.69,8.78,21.05,1987,0,0,1,0,1,0
2.0,35,2022,0,1,3786,141,50,30,196,24,30.04,0,0,16,8,0.571428571,105.38,0,0.0,484.2,2906.0,136.0,16.0,3.0,8.44,21.37,122.0,8.71,95.31,21.04,8.53,119.0,29.9,121.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,11.86,0.0,1987,0,0,1,0,1,0
2.0,35,2022,0,1,3786,141,50,30,196,24,30.04,0,0,16,8,0.571428571,105.38,0,0.0,484.2,2906.0,136.0,16.0,3.0,8.44,21.37,122.0,8.71,95.31,21.04,8.53,119.0,29.9,121.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,11.86,0.0,1987,0,0,1,0,1,0
1.0,34,2021,0,0,3786,141,50,30,196,24,30.04,0,0,16,8,0.571428571,105.38,0,0.0,484.2,2906.0,136.0,16.0,3.0,8.44,21.37,122.0,8.71,95.31,21.04,8.53,119.0,29.9,121.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,11.86,0.0,1987,0,0,1,0,1,0
0.6073170731707318,27,2014,0,1,3786,141,50,30,196,24,30.04,0,0,16,8,0.571428571,105.38,0,0.0,484.2,2906.0,136.0,16.0,3.0,8.44,21.37,44.0,11.0,81.48,22.44,8.17,43.0,30.56,47.0,16.0,8.0,12.0,38.0,38.0,100.0,1.7,57.5,16.0,31.75,21.69,8.78,21.05,1987,0,0,1,0,1,0
0.2,34,2021,0,0,3786,141,50,30,196,24,30.04,0,0,16,8,0.571428571,105.38,0,0.0,484.2,2906.0,136.0,16.0,3.0,8.44,21.37,122.0,8.71,95.31,21.04,8.53,119.0,29.9,121.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,11.86,0.0,1987,0,0,1,0,1,0
0.2,35,2022,0,1,3786,141,50,30,196,24,30.04,0,0,16,8,0.571428571,105.38,0,0.0,484.2,2906.0,136.0,16.0,3.0,8.44,21.37,122.0,8.71,95.31,21.04,8.53,119.0,29.9,121.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,11.86,0.0,1987,0,0,1,0,1,0
0.2,35,2022,0,1,3786,141,50,30,196,24,30.04,0,0,16,8,0.571428571,105.38,0,0.0,484.2,2906.0,136.0,16.0,3.0,8.44,21.37,122.0,8.71,95.31,21.04,8.53,119.0,29.9,121.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,11.86,0.0,1987,0,0,1,0,1,0
2.8061224489795915,28,2013,0,0,3790,17,5,3,7,4,42.55,0,0,0,0,0.0,58.33,0,0.0,50.0,300.0,11.0,0.0,0.0,9.36,27.27,7.0,3.5,58.33,27.27,9.36,10.0,42.55,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,24.29,18.0,8.1,22.58,1985,0,0,1,0,1,0
7.75,31,2022,1,1,3799,27,6,6,19,7,23.14,0,0,1,0,0.210526316,67.86,0,0.0,100.3,603.0,35.0,4.0,1.0,8.06,17.23,0.0,0.0,0.0,22.5,7.93,11.0,29.75,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,11.0,26.64,19.09,8.37,20.0,1991,0,0,1,0,0,1
2.606635071090047,29,2020,1,0,3799,27,6,6,19,7,23.14,0,0,1,0,0.210526316,67.86,0,0.0,100.3,603.0,35.0,4.0,1.0,8.06,17.23,0.0,0.0,0.0,22.5,7.93,11.0,29.75,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991,0,0,1,0,0,1
0.7591463414634146,23,2014,1,1,3799,27,6,6,19,7,23.14,0,0,1,0,0.210526316,67.86,0,0.0,100.3,603.0,35.0,4.0,1.0,8.06,17.23,0.0,0.0,0.0,22.5,7.93,11.0,29.75,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991,0,0,1,0,0,1
0.4934210526315789,30,2015,1,0,3824,10,4,2,10,7,32.56,0,0,1,0,0.4,83.33,0,0.0,36.0,216.0,9.0,0.0,0.0,8.14,24.0,9.0,4.5,81.82,24.0,7.91,8.0,31.63,9.0,2.0,1.0,7.0,7.0,0.0,116.67,2.17,8.0,2.0,33.0,24.0,8.25,16.67,1985,0,0,1,0,0,1
10.524280575539567,28,2018,1,1,3830,27,12,5,96,29,20.38,0,0,10,0,0.416666667,97.96,0,0.0,96.4,580.0,34.0,4.0,1.0,7.17,17.06,96.0,13.71,97.96,17.06,7.17,34.0,20.38,27.0,13.0,3.0,9.0,11.0,11.0,78.57,0.62,43.0,20.0,14.55,12.9,6.77,22.73,1990,0,0,1,0,0,1
7.591463414634147,24,2014,1,1,3830,27,12,5,96,29,20.38,0,0,10,0,0.416666667,97.96,0,0.0,96.4,580.0,34.0,4.0,1.0,7.17,17.06,96.0,13.71,97.96,17.06,7.17,34.0,20.38,27.0,13.0,3.0,9.0,11.0,11.0,78.57,0.62,0.0,0.0,0.0,0.0,0.0,0.0,1990,0,0,1,0,0,1
12.875449640287767,27,2018,0,1,3838,94,27,14,173,26,31.56,0,0,14,6,0.531791908,123.57,0,0.0,325.0,1950.0,91.0,7.0,2.0,8.84,21.43,5.0,5.0,38.46,17.5,8.01,55.0,23.38,47.0,12.0,2.0,2.0,2.0,0.0,0.0,0.11,45.5,24.0,13.42,11.46,7.03,25.53,1991,0,0,1,0,1,0
9.821428571428571,22,2013,0,0,3838,94,27,14,173,26,31.56,0,0,14,6,0.531791908,123.57,0,0.0,325.0,1950.0,91.0,7.0,2.0,8.84,21.43,105.0,11.67,109.38,18.8,8.52,10.0,26.7,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.67,0.0,1991,0,0,1,0,1,0
