,Amount,Age,Year,Overseas,Mega,id,matches,Innings,Not Outs,Aggregate,Highest Score,Average,30s,50s,4s,6s,Boundary %,Scoring Rate,Top Scored in Innings,Top Scored %,Overs,Balls Bowled,Wickets,3 Wickets in Innings,4 Wickets in Innings,Economy Rate,Strike Rate,prog_agg,prog_avg,prog_sr,prog_bowlsr,prog_er,prog_wkts,prog_bowlavg,prog_matches,last_matches,last_inn,last_hs,last_runs,last_avg,last_sr,last_batpercent,overs,last_wkts,last_bowlavg,last_bowlsr,last_bowler,last_bowlpercent,birthyear,Role_All-Rounder,Role_Batsman,Role_Bowler,Role_Wicket Keeper,Nation_Indian,Nation_Overseas
192,0.3571428571428571,27,2016,0,0,4082,25,1,0,0,0,32.83,0,0,0,0,0.0,0.0,0,0.0,77.0,462.0,18.0,0.0,0.0,7.68,25.67,0.0,0.0,0.0,25.67,7.68,18.0,32.83,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,11.0,20.27,16.91,7.19,15.49,1989,0,0,1,0,1,0
193,0.6073170731707318,24,2014,0,1,4100,7,4,3,19,14,41.6,0,0,2,0,0.421052632,82.61,0,0.0,20.0,120.0,5.0,0.0,0.0,10.4,24.0,0.0,0.0,0.0,22.0,10.0,3.0,36.67,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.2,8.0,3.0,26.33,16.0,9.88,14.29,1990,0,0,1,0,1,0
194,0.1518292682926829,31,2014,0,1,4103,25,17,7,170,34,17.0,2,0,23,2,0.611764706,124.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,16.6,126.72,0.0,0.0,0.0,0.0,24.0,12.0,9.0,34.0,125.0,15.63,130.21,6.98,9.0,0.0,125.0,15.63,130.21,6.98,1983,0,0,1,0,1,0
195,0.3036585365853659,23,2014,0,1,4107,31,23,8,280,36,22.0,2,0,16,15,0.55,145.08,0,0.0,43.4,262.0,18.0,1.0,0.0,9.07,14.56,160.0,16.0,135.59,14.5,9.07,14.0,21.93,21.0,12.0,10.0,36.0,125.0,20.83,140.45,7.96,6.4,3.0,23.33,13.33,10.5,3.95,1991,0,0,1,0,1,0
196,0.6073170731707318,22,2014,0,1,4110,9,1,0,0,0,29.6,0,0,0,0,0.0,0.0,0,0.0,34.0,204.0,10.0,0.0,0.0,8.71,20.4,0.0,0.0,0.0,20.4,8.71,10.0,29.6,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,10.0,29.6,20.4,8.71,18.87,1992,0,0,1,0,1,0
197,5.598021582733812,31,2018,0,1,4115,75,37,14,320,39,26.57,2,0,18,14,0.4875,114.7,0,0.0,225.1,1351.0,69.0,4.0,2.0,8.14,19.58,317.0,15.1,115.69,21.1,7.68,49.0,27.0,56.0,9.0,6.0,19.0,49.0,8.17,119.51,3.38,30.4,13.0,16.46,14.15,6.98,22.41,1987,0,0,1,0,1,0
198,5.6935975609756095,27,2014,0,1,4115,75,37,14,320,39,26.57,2,0,18,14,0.4875,114.7,0,0.0,225.1,1351.0,69.0,4.0,2.0,8.14,19.58,86.0,17.2,96.63,19.0,6.6,11.0,20.91,14.0,13.0,7.0,39.0,85.0,21.25,98.84,4.81,34.5,11.0,20.91,19.0,6.6,13.58,1987,0,0,1,0,1,0
199,0.5,35,2022,0,1,4115,75,37,14,320,39,26.57,2,0,18,14,0.4875,114.7,0,0.0,225.1,1351.0,69.0,4.0,2.0,8.14,19.58,317.0,15.1,115.69,20.71,7.91,59.0,27.29,68.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,33.0,22.8,8.68,15.63,1987,0,0,1,0,1,0
200,0.3571428571428571,45,2016,0,0,4118,33,6,4,18,7,30.46,0,0,1,0,0.222222222,46.15,0,0.0,110.0,660.0,28.0,2.0,1.0,7.75,23.57,11.0,5.5,55.0,24.52,7.55,23.0,30.87,26.0,10.0,2.0,2.0,3.0,0.0,0.0,0.21,34.0,7.0,38.0,29.14,7.82,14.58,1971,0,0,1,0,1,0
201,0.2606635071090047,49,2020,0,0,4118,33,6,4,18,7,30.46,0,0,1,0,0.222222222,46.15,0,0.0,110.0,660.0,28.0,2.0,1.0,7.75,23.57,18.0,9.0,46.15,23.57,7.75,28.0,30.46,33.0,7.0,1.0,7.0,7.0,0.0,36.84,0.66,16.0,5.0,28.6,19.2,8.94,18.52,1971,0,0,1,0,1,0
